n,abr_type,height_before,height_after,insert_time,search_time,delete_time
8210,abr,41,29,2.192589157338313e-06,1.8306174617329681e-06,4.4251700159710595e-06
8310,abr,44,29,2.0781177581003127e-06,1.8179029795032275e-06,4.51499117225182e-06
8410,abr,42,30,2.2128023033172797e-06,2.061626924802371e-06,4.772382525900305e-06
8510,abr,47,38,2.2382397111540602e-06,1.910302232203221e-06,4.757117570875179e-06
8610,abr,46,35,2.2161806710169613e-06,1.9344513442242384e-06,4.767683408731087e-06
8710,abr,49,34,2.3776734367431066e-06,2.0798949063033743e-06,4.6861415709245175e-06
8810,abr,48,33,2.3251387416419106e-06,1.99488393602308e-06,4.615538757307232e-06
8910,abr,50,32,2.3318367352693444e-06,1.920067309375754e-06,5.179166749315357e-06
9010,abr,45,32,2.391786644418383e-06,2.0289610790259064e-06,4.788682516034994e-06
9110,abr,49,33,2.439165472769373e-06,2.1415275268240054e-06,5.099386174021804e-06
9210,abr,45,30,2.476130522067576e-06,1.935778479827078e-06,4.9337154284548435e-06
9310,abr,57,36,2.478709028031802e-06,2.2466666744088095e-06,5.113139585453934e-06
9410,abr,48,34,2.4194893599120397e-06,2.175827329944056e-06,4.957844002215587e-06
9510,abr,46,35,2.314512559054724e-06,1.8249464658538757e-06,4.7564334331803294e-06
9610,abr,47,38,2.510300500911628e-06,2.0294984010547897e-06,5.269528921883728e-06
9710,abr,46,33,2.4113913192729096e-06,1.762558877232239e-06,5.0392857176448385e-06
9810,abr,54,34,2.8727030549407033e-06,2.328336899942342e-06,5.955209489614513e-06
9910,abr,48,31,2.3869693044351554e-06,1.9024469285331509e-06,5.175924859173951e-06
10,lista,5,5,1.7333344051924844e-06,,
110,lista,11,11,1.8333323820160678e-06,1.4350000128615647e-06,2.461904105508611e-06
210,lista,14,14,2.120245116665685e-06,1.7333353380075632e-06,2.392499300185591e-06
310,lista,20,19,2.3216453760870413e-06,1.8551724898661006e-06,2.7262295126823373e-06
410,lista,15,15,2.0589577853194277e-06,1.5425010133185424e-06,2.2106660374750692e-06
510,lista,19,17,2.148628532143305e-06,1.5291664870649886e-06,2.2210001770872623e-06
610,lista,16,16,2.125208266079426e-06,1.5644072229437278e-06,2.06186358177624e-06
710,lista,17,14,2.1796903721141545e-06,1.6207405779924657e-06,2.1852939586524906e-06
810,lista,17,17,2.2004719568436976e-06,1.6435903186599414e-06,2.2188674310023117e-06
910,lista,17,15,2.1085042378092267e-06,1.5541910474818179e-06,2.0744054858195818e-06
1010,lista,17,15,2.1837481111715285e-06,1.6913264906699105e-06,2.1597984757031027e-06
1110,lista,18,15,2.2824229516316815e-06,1.6591737955731741e-06,2.2004564323560358e-06
1210,lista,17,15,2.1503675105548607e-06,1.6172405845156453e-06,2.1404446387249562e-06
1310,lista,17,15,2.2503962172057e-06,1.6476927087821353e-06,2.087937447818627e-06
