level_0,n,abr_type,height_before,height_after,insert_time,search_time,delete_time
110,5510,lista,13.28,0.0,8.32179673172006e-06,7.507317753891254e-06,3.838069936060273e-06
111,5560,lista,13.21,0.0,7.955654795360754e-06,7.489509373924762e-06,3.822135793444372e-06
112,5610,lista,13.51,0.0,7.040325630744822e-06,7.5703547096676e-06,3.812500800393487e-06
113,5660,lista,13.17,0.0,7.1817830388924255e-06,7.472024486910559e-06,3.771590090471769e-06
114,5710,lista,13.25,0.0,7.676150044172427e-06,7.5715631877942205e-06,3.817875816147156e-06
115,5760,lista,13.3,0.0,8.583410512339956e-06,7.611682035433078e-06,3.7823949271064012e-06
116,5810,lista,13.54,0.0,7.877690454607951e-06,7.66120670147842e-06,3.786235509044525e-06
117,5860,lista,13.1,0.0,7.921399623216713e-06,7.690402061825032e-06,3.8414640138159665e-06
118,5910,lista,13.08,0.0,7.26626879345231e-06,7.625846702536825e-06,3.77336979148066e-06
119,5960,lista,13.23,0.0,6.844469154982455e-06,7.585939261316037e-06,3.834100871763867e-06
120,6010,lista,13.05,0.0,8.50970123883069e-06,7.486032311471874e-06,3.7352700925510436e-06
121,6060,lista,13.3,0.0,8.174057783953807e-06,7.5955430766734085e-06,3.70730261365019e-06
122,6110,lista,13.22,0.0,7.612988336192553e-06,7.5046331168906776e-06,3.6510720490853502e-06
123,6160,lista,13.44,0.0,7.1662621394995016e-06,7.583322856185255e-06,3.667982305216072e-06
124,6210,lista,13.46,0.0,7.509212643440143e-06,7.664466149362945e-06,3.71278953514789e-06
125,6260,lista,13.14,0.0,8.702603498505005e-06,7.590839120711027e-06,3.7005646256798766e-06
126,6310,lista,13.22,0.0,8.046709533058164e-06,7.473623093126595e-06,3.6666378695575266e-06
127,6360,lista,13.26,0.0,7.709820649237452e-06,7.581542082614921e-06,3.6738183627144365e-06
128,6410,lista,13.61,0.0,7.1199155592535386e-06,7.737888910430732e-06,3.6830102253810258e-06
129,6460,lista,13.43,0.0,7.5461884172111506e-06,7.660389820273218e-06,3.5787263842357565e-06
130,6510,lista,13.24,0.0,8.426608969244198e-06,7.470358284786058e-06,3.595503312700668e-06
131,6560,lista,13.3,0.0,7.753552936960187e-06,7.414445604196062e-06,3.5492172901285814e-06
132,6610,lista,13.33,0.0,7.993018067323777e-06,7.512146611716558e-06,3.597997633653201e-06
133,6660,lista,13.34,0.0,7.126725371963349e-06,7.603311482577462e-06,3.63472594582182e-06
134,6710,lista,13.21,0.0,7.712186193395268e-06,7.49337059122628e-06,3.6474074358302655e-06
135,6760,lista,13.02,0.0,8.749260962300069e-06,7.459400900274591e-06,3.5171886639255237e-06
136,6810,lista,13.19,0.0,7.49881285064235e-06,7.5090773079955294e-06,3.586509353160313e-06
137,6860,lista,13.29,0.0,7.311250028587415e-06,7.622678892358123e-06,3.556600104429068e-06
138,6910,lista,13.12,0.0,7.198111861365281e-06,7.496351181544014e-06,3.548016666064811e-06
139,6960,lista,13.39,0.0,8.516113153420086e-06,7.560583155632282e-06,3.533614838593114e-06
140,7010,lista,13.13,0.0,8.109017015155072e-06,7.47598025698184e-06,3.5014882666279422e-06
141,7060,lista,13.64,0.0,7.7504056232253e-06,7.559263184579343e-06,3.541823065072311e-06
142,7110,lista,13.33,0.0,7.327335845746606e-06,7.5668511425435626e-06,3.4864215764658623e-06
143,7160,lista,13.41,0.0,8.05789596528314e-06,7.437318005420251e-06,3.468891572865991e-06
144,7210,lista,13.09,0.0,8.339504466948332e-06,7.407565127281936e-06,3.4463747041542564e-06
145,7260,lista,13.04,0.0,7.642553200197448e-06,7.5609792862957404e-06,3.5405523298593397e-06
146,7310,lista,13.35,0.0,7.436336445505572e-06,7.669131024050536e-06,3.4497921222812124e-06
147,7360,lista,13.59,0.0,7.66043133979088e-06,7.683040329299195e-06,3.5090841411196696e-06
148,7410,lista,13.4,0.0,8.914434723917998e-06,7.648729315960873e-06,3.488896399378484e-06
149,7460,lista,13.07,0.0,7.716359090412899e-06,7.67465035385822e-06,3.525395700276156e-06
150,7510,lista,13.63,0.0,7.357895353790262e-06,7.535633291337114e-06,3.439027655515158e-06
151,7560,lista,13.19,0.0,7.28149713743687e-06,7.560353603922623e-06,3.4501123322760574e-06
152,7610,lista,13.46,0.0,8.504850016161238e-06,7.588243148055183e-06,3.3445174385317837e-06
153,7660,lista,13.17,0.0,8.40741659847804e-06,7.765860032042135e-06,3.4694802291385375e-06
154,7710,lista,13.41,0.0,7.1797269559622e-06,7.485794442568658e-06,3.3978429595961617e-06
155,7760,lista,13.14,0.0,7.195488194573739e-06,7.49390880382775e-06,3.4002396998107776e-06
156,7810,lista,13.37,0.0,8.658425380493305e-06,7.600691024826861e-06,3.3884978426858166e-06
157,7860,lista,13.21,0.0,8.455637487675068e-06,7.468978672088741e-06,3.3710245912127467e-06
158,7910,lista,13.32,0.0,7.14840374965151e-06,7.530924714002082e-06,3.387515907573757e-06
159,7960,lista,13.04,0.0,7.2590719142691626e-06,7.339839714713158e-06,3.344848712545606e-06
160,8010,lista,13.16,0.0,8.596994785420407e-06,7.424603242546433e-06,3.396881278021411e-06
161,8060,lista,13.34,0.0,7.67849609618731e-06,7.571096381916978e-06,3.3581332589381612e-06
162,8110,lista,13.32,0.0,6.984118864969737e-06,7.552925333622116e-06,3.319730414251857e-06
163,8160,lista,13.41,0.0,8.123453677145517e-06,7.479515898712278e-06,3.3140054465436563e-06
164,8210,lista,13.26,0.0,8.590889039609616e-06,7.667214083595277e-06,3.360126013212437e-06
165,8260,lista,13.57,0.0,7.665563945344023e-06,7.600745100221689e-06,3.3488473303382406e-06
166,8310,lista,13.47,0.0,7.320331201305288e-06,7.554699759654152e-06,3.294653061409867e-06
167,8360,lista,13.52,0.0,8.185541967655377e-06,7.5952054277799e-06,3.342796549690903e-06
168,8410,lista,13.39,0.0,8.101075100152809e-06,7.645415604281025e-06,3.4065624977068277e-06
169,8460,lista,13.34,0.0,8.149702495840937e-06,7.660930122789332e-06,3.4072886291212868e-06
170,8510,lista,13.34,0.0,7.3024225022750115e-06,7.743475519878245e-06,3.4151894503099526e-06
171,8560,lista,13.23,0.0,8.59129201237986e-06,7.560704776300826e-06,3.3330952418824193e-06
172,8610,lista,13.22,0.0,8.516607041856944e-06,7.642514038634613e-06,3.352396862840081e-06
173,8660,lista,13.35,0.0,7.175113996210783e-06,7.75333055564605e-06,3.4901615008640568e-06
